name	date	hq	category	audience	model	description	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags	status
Avallo	n/a	Mexico City, Distrito Federal, Mexico	Marketplace	n/a	n/a	Regtech	 https://www.avallo.com/	https://twitter.com/avalloweb?lang=en	n/a	https://www.crunchbase.com/organization/avallo	https://www.linkedin.com/company/avallo/	https://www.facebook.com/avallo.creative	Information Technology, Legal Tech	active
Otica.ai	n/a	Tel Aviv, Tel Aviv, Israel	Marketplace	n/a	n/a	Otica is a LegalTech platform designed to help legal professionals share and monetize their knowledge.	 https://otica.ai/	n/a	n/a	https://www.crunchbase.com/organization/otica-ai	https://www.linkedin.com/company/otica-ai/	https://www.facebook.com/otica.viva1/posts/ai-ai-ai/1413455948706207/	Artificial Intelligence, Big Data, Internet, Legal Tech	active
Vicente Sederberg	n/a	Denver, Colorado, United States	Legal Education	n/a	n/a	Vicente Sederberg is a top-ranked national cannabis law firm providing legal and policy services to marijuana and hemp companies.	 https://vicentesederberg.com/	n/a	n/a	https://www.crunchbase.com/organization/vicente-sederberg	https://www.linkedin.com/company/vicente-sederberg-llp/	https://www.facebook.com/VicenteSederbergLLP	Law Enforcement, Legal, Legal Tech	active
DiJu	n/a	Paris, Ile-de-France, France	Marketplace	n/a	n/a	Boost your productivity with seamless word-processing and search applications designed for and by lawyers.	https://diju.fr	https://twitter.com/dijuchandran	n/a	https://www.crunchbase.com/organization/diju	https://www.linkedin.com/company/diju	https://www.facebook.com/Diju-654300355026638/	Information Technology, Legal Tech, Software	active
Litigation Master	n/a	Ramat Gan, Tel Aviv, Israel	Document Automation	n/a	n/a	Litigation Master is an AI startup that developed software with contextual analysis to review legal documents and financial statements.	https://uniregistry.com/market/domain/litigationmaster.com?landerid=litigationmaster5f12b10e440541.66869114	n/a	https://angel.co/company/litigation-master	https://www.crunchbase.com/organization/litigation-master	n/a	n/a	Analytics, Artificial Intelligence, Big Data, Legal Tech	inactive
Merton Lawyers	n/a	Hawthorn, Victoria, Australia	Legal Education	n/a	n/a	Merton Lawyers is a law firm that offers commercial, corporate, property, conveyancing, and litigation advice.	https://www.mertonlawyers.com.au/	https://twitter.com/mertonlawyers?lang=en	n/a	https://www.crunchbase.com/organization/merton-lawyers	https://www.linkedin.com/company/merton-lawyers/	https://www.facebook.com/mertonlawyers	Advice, Consulting, Legal, Legal Tech	active
Candor Consulting	n/a	Wayne, Pennsylvania, United States	Practice Management	n/a	n/a	Candor Consulting provides a custom solution for each client and is there to guide organizations.	 http://www.candor-consulting.com/	https://twitter.com/GroupCandor?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor	n/a	https://www.crunchbase.com/organization/candor-consulting	https://www.linkedin.com/company/candor-consulting/	http://www.facebook.com/candorconsulting	Consulting, Legal Tech, Management Consulting	active
LawHero	n/a	Toronto, Ontario, Canada	Legal Education	n/a	n/a	LawHero is a web application that connects people who need legal advice,  with lawyers for a virtual consultation at affordable prices.	 https://www.lawhero.ca/	n/a	n/a	https://www.crunchbase.com/organization/lawhero	https://www.linkedin.com/company/lawhero/	https://www.facebook.com/lawherocanada/?view_public_for=246435992670263	B2B, Information Technology, Legal, Legal Tech, Marketplace, Software	active
Clemta	n/a	n/a	Marketplace	n/a	n/a	SaaS tool to automatize incorporations and post-incorporation in Delaware.	http://clemta.com/	n/a	n/a	https://www.crunchbase.com/organization/clemta	https://www.linkedin.com/company/clemta/	http://www.facebook.com/clemtainc	Legal Tech, SaaS, Software	active
Huttons	n/a	Cardiff, Cardiff, United Kingdom	Legal Education	n/a	n/a	Huttons aims to services that provide you with the confidence you need so you can focus on enjoying life, or building your business.	https://www.huttonslaw.co.uk	n/a	n/a	https://www.crunchbase.com/organization/huttons	https://www.linkedin.com/company/huttonsgroup	https://www.facebook.com/huttonslawcardiff/	Law Enforcement, Legal, Legal Tech	active
Legal Research Center	n/a	Minneapolis, Minnesota, United States	Marketplace	n/a	n/a	LegalResearch.com, a division of Legal Research Center, Inc., brings together a powerful legal research.	n/a	n/a	n/a	n/a	https://www.linkedin.com/company/legal-research-center/about/	https://www.facebook.com/pg/LegalResearchCenter/about/?ref=page_internal	Consulting, Legal, Legal Tech	active
Planet Data	n/a	Elmsford, New York, United States	Document Automation	n/a	n/a	Contract Analysis with AI	n/a	n/a	n/a	n/a	https://www.linkedin.com/company/planetdata	https://www.facebook.com/Planet-Data-235672380223474/	Analytics, Artificial Intelligence, Contact Management, Legal Tech, Software, Text Analytics	active
Legal Hub	n/a	Curitiba, Parana, Brazil	Legal Education	n/a	n/a	Legal Hub provides access to a wide strategic and facilitative advice, such as ethical prospecting of clients and management of suppliers.	 https://www.thelegalhub.com.au/	https://twitter.com/thelegalhub	n/a	https://www.crunchbase.com/organization/legal-hub	https://www.linkedin.com/company/thelegalhub/	https://www.facebook.com/thelegalhub/	Advice, Legal, Legal Tech	active
Wildcat Legal	2014	East London	Legal Research	n/a	n/a	Legal search for curious humans	 http://thewildcat.co.uk/	https://twitter.com/wildcatagency	https://angel.co/company/wildcat-consulting	https://www.crunchbase.com/organization/wildcat-venture-partners	https://www.linkedin.com/company/wildcat	https://www.facebook.com/wildcatofficial/	n/a	active
One Protect	n/a	Herzliya, Tel Aviv, Israel	Practice Management	n/a	n/a	One Protect provides a variety of services in the field of administrative management systems for businesses and individuals.	http://www.roadprotect.co.il	n/a	n/a	https://www.crunchbase.com/organization/one-protect-road-protect	https://www.linkedin.com/company/road-protect-il/	https://www.facebook.com/roadprotectisrael/	Automotive, CivicTech, Fleet Management, Legal Tech, Parking	active
Referent	n/a	Moscow, Moscow City, Russian Federation	Legal Education	n/a	n/a	Referent is a portal offers full legal support via the Internet.	https://www.referent.ru	https://twitter.com/referentofself	n/a	https://www.crunchbase.com/organization/referent	https://www.linkedin.com/company/referent	https://www.facebook.com/referent.portal	Internet, Legal, Legal Tech	active
